season,day,home,away,homeGoals,awayGoals,winner
2022-23,2023-04-08T00:00:00Z,Tottenham,Brighton,2,1,H
2022-23,2023-04-08T00:00:00Z,Wolves,Chelsea,1,0,H
2022-23,2023-04-08T00:00:00Z,Southampton,Man City,1,4,A
2022-23,2023-04-09T00:00:00Z,Leeds,Crystal Palace,1,5,A
2022-23,2023-04-09T00:00:00Z,Liverpool,Arsenal,2,2,D
2022-23,2023-04-15T00:00:00Z,Aston Villa,Newcastle,3,0,H
2022-23,2023-04-15T00:00:00Z,Chelsea,Brighton,1,2,A
2022-23,2023-04-15T00:00:00Z,Everton,Fulham,1,3,A
2022-23,2023-04-15T00:00:00Z,Southampton,Crystal Palace,0,2,A
2022-23,2023-04-15T00:00:00Z,Wolves,Brentford,2,0,H
2022-23,2023-04-15T00:00:00Z,Tottenham,Bournemouth,2,3,A
2022-23,2023-04-15T00:00:00Z,Man City,Leicester,3,1,H
2022-23,2023-04-16T00:00:00Z,West Ham,Arsenal,2,2,D
2022-23,2023-04-16T00:00:00Z,Nott'm Forest,Man United,0,2,A
2022-23,2023-04-17T00:00:00Z,Leeds,Liverpool,1,6,A
2022-23,2023-04-21T00:00:00Z,Arsenal,Southampton,3,3,D
2022-23,2023-04-22T00:00:00Z,Fulham,Leeds,2,1,H
2022-23,2023-04-22T00:00:00Z,Brentford,Aston Villa,1,1,D
2022-23,2023-04-22T00:00:00Z,Crystal Palace,Everton,0,0,D
2022-23,2023-04-22T00:00:00Z,Leicester,Wolves,2,1,H
2022-23,2023-04-22T00:00:00Z,Liverpool,Nott'm Forest,3,2,H
2022-23,2023-04-23T00:00:00Z,Bournemouth,West Ham,0,4,A
2022-23,2023-04-23T00:00:00Z,Newcastle,Tottenham,6,1,H
2022-23,2023-05-24T00:00:00Z,Brighton,Man City,1,1,D
2022-23,2023-05-25T00:00:00Z,Man United,Chelsea,4,1,H
2022-23,2023-04-25T00:00:00Z,Wolves,Crystal Palace,2,0,H
2022-23,2023-04-25T00:00:00Z,Aston Villa,Fulham,1,0,H
2022-23,2023-04-25T00:00:00Z,Leeds,Leicester,1,1,D
2022-23,2023-04-26T00:00:00Z,Nott'm Forest,Brighton,3,1,H
2022-23,2023-04-26T00:00:00Z,West Ham,Liverpool,1,2,A
2022-23,2023-04-26T00:00:00Z,Chelsea,Brentford,0,2,A
2022-23,2023-04-26T00:00:00Z,Man City,Arsenal,4,1,H
2022-23,2023-04-27T00:00:00Z,Everton,Newcastle,1,4,A
2022-23,2023-04-27T00:00:00Z,Southampton,Bournemouth,0,1,A
2022-23,2023-04-27T00:00:00Z,Tottenham,Man United,2,2,D
2022-23,2023-04-29T00:00:00Z,Crystal Palace,West Ham,4,3,H
